cig;numero_gara;importo_complessivo_gara;n_lotti_componenti;importo_lotto;settore;data_pubblicazione;tipo_scelta_contraente;modalita_realizzazione;denominazione_amministrazione_appaltante;sezione_regionale;descrizione_cpv;aggiudicatario;tipo_aggiudicatario
43786532C3;4334605;273971.0;1.0;273971.0;SETTORI SPECIALI;2007-01-02;AFFIDAMENTO DIRETTO;CONTRATTO D'APPALTO;ACEA ATO 5 S.P.A.;SEZIONE REGIONALE LAZIO;LAVORI DI COSTRUZIONE PER OPERE IDRAULICHE.;WALTER FREZZA COSTRUZIONI SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
326325398E;3283009;1680000.0;8.0;130000.0;SETTORI ORDINARI;2007-01-10;PROCEDURA APERTA;CONTRATTO DAPPALTO;ASL TARANTO;SEZIONE REGIONALE PUGLIA;SISTEMA DI DIAGNOSI RADIOLOGICA.;SISMED S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
32173300B5;3237166;60000.0;1.0;60000.0;SETTORI ORDINARI;2007-01-26;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO DAPPALTO;AZIENDA ULSS N. 3 SERENISSIMA;SEZIONE REGIONALE VENETO;PRESIDI MEDICO-SANITARI VARI.;JOHNSON & JOHNSON - SOCIETA PER AZIONI;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
270171990A;2759518;900000.0;5.0;220000.0;SETTORI ORDINARI;2007-01-24;PROCEDURA RISTRETTA;CONTRATTO D'APPALTO;CONSER V.C.O. SPA;SEZIONE REGIONALE PIEMONTE;AUTOVEICOLI PER LA RACCOLTA DI RIFIUTI CON COMPATTATORE.;TECNOINDUSTRIE MERLO SPA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0941878E4C;979021;56160.0;1.0;56160.0;SETTORI ORDINARI;2007-01-09;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;ACQUISIZIONE IN ECONOMIA;MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI - CENTRO PROVA AUTOVEICOLI;SEZIONE REGIONALE CENTRALE;RIPARAZIONE E MANUTENZIONE DI IMPIANTI.;COGEI COSTRUZIONI SRL - IN LIQUIDAZIONE;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
7342085037;6956589;69000.0;1.0;69000.0;SETTORI ORDINARI;2007-01-02;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO DI CONCESSIONE DI SERVIZI E/O FORNITURE;CENTRALE DI COMMITTENZA MODICA-SCICLI;SEZIONE REGIONALE SICILIA;SERVIZI DI MANUTENZIONE DI IMPIANTI DI ILLUMINAZIONE STRADALE.;ENEL SOLE S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
27017789BA;2759518;900000.0;5.0;300000.0;SETTORI ORDINARI;2007-01-24;PROCEDURA RISTRETTA;CONTRATTO DAPPALTO;CONSER V.C.O. SPA;SEZIONE REGIONALE PIEMONTE;AUTOVEICOLI PER LA RACCOLTA DI RIFIUTI CON COMPATTATORE.;OMB BRESCIA SPA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
3040542E9E;3074019;7433364.58;1.0;7433364.58;SETTORI SPECIALI;2007-01-06;PROCEDURA APERTA;CONTRATTO D'APPALTO;A.C.A. S.P.A. IN HOUSE PROVIDING;SEZIONE REGIONALE ABRUZZO;LAVORI DI COSTRUZIONE DI CONDOTTE IDRICHE E FOGNARIE.;ALMA C.I.S. S.R.L.;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
3040542E9E;3074019;7433364.58;1.0;7433364.58;SETTORI SPECIALI;2007-01-06;PROCEDURA APERTA;CONTRATTO D'APPALTO;A.C.A. S.P.A. IN HOUSE PROVIDING;SEZIONE REGIONALE ABRUZZO;LAVORI DI COSTRUZIONE DI CONDOTTE IDRICHE E FOGNARIE.;CO. BE' S.R.L. ;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
3040542E9E;3074019;7433364.58;1.0;7433364.58;SETTORI SPECIALI;2007-01-06;PROCEDURA APERTA;CONTRATTO D'APPALTO;A.C.A. S.P.A. IN HOUSE PROVIDING;SEZIONE REGIONALE ABRUZZO;LAVORI DI COSTRUZIONE DI CONDOTTE IDRICHE E FOGNARIE.;CYBORG S.R.L.;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
