"cig";"cig_accordo_quadro";"numero_gara";"oggetto_gara";"importo_complessivo_gara";"n_lotti_componenti";"oggetto_lotto";"importo_lotto";"oggetto_principale_contratto";"stato";"settore";"luogo_istat";"provincia";"data_pubblicazione";"data_scadenza_offerta";"cod_tipo_scelta_contraente";"tipo_scelta_contraente";"cod_modalita_realizzazione";"modalita_realizzazione";"codice_ausa";"cf_amministrazione_appaltante";"denominazione_amministrazione_appaltante";"sezione_regionale";"id_centro_costo";"denominazione_centro_costo";"anno_pubblicazione";"mese_pubblicazione";"cod_cpv";"descrizione_cpv";"flag_prevalente"
"0004065A88";"";"6551";"G.13 OEPERE IN VERDE";"267000.0";;"G.13 OPERE IN VERDE";"267000.0";"LAVORI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-16";"2007-03-19";"1";"PROCEDURA APERTA";"1";"CONTRATTO D'APPALTO";"0000239147";"80208450587";"ANAS SPA";"SEZIONE REGIONALE CENTRALE";"475";"STRUTTURA TERRITORIALE LAZIO - ST7";"2007";"2";"45000000-7";"LAVORI DI COSTRUZIONE.";"1"
"0020669099";"";"31016";"AUTOSTRADA GE-SESTRI L. A/12 - LAVORI DI MANUTENZIONE PER INTERVENTI DI PRESIDIO IDRAULICO PIEDRITTI N. 4 FORNI-CI DELLE GALLERIE: SESSAREGO SX PROGR.KM 17+098 ? CASALINO SX PROGR. KM 27+235 ? DI RAPALLO SX KM 29+122 ? SAN BARTOLOMEO SX KM 31+337 - CODICE APPALTO N.13/GE/2007";"92889.0";;"AUTOSTRADA GE-SESTRI L. A/12 - LAVORI DI MANUTENZIONE PER INTERVENTI DI PRESIDIO IDRAULICO PIEDRITTI N. 4 FORNI-CI DELLE GALLERIE: SESSAREGO SX PROGR.KM 17+098 ? CASALINO SX PROGR. KM 27+235 ? DI RAPALLO SX KM 29+122 ? SAN BARTOLOMEO SX KM 31+337 - CODICE APPALTO N.13/GE/2007";"92889.94";"LAVORI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-16";"2007-03-07";"8";"AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO";"1";"CONTRATTO D'APPALTO";"0000231595";"07516911000";"AUTOSTRADE PER L ITALIA S.P.A.";"SEZIONE REGIONALE CENTRALE";"9E47F21E-685B-43A6-A271-7B3313FFBD65";"DIREZIONE 1 TRONCO GENOVA";"2007";"2";"45000000-7";"LAVORI DI COSTRUZIONE.";"1"
"00068569BD";"";"10886";"CAPPA";"21000.0";;"CAPPA IN ACCIAIO";"7000.0";"FORNITURE";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-21";"2007-02-22";"1";"PROCEDURA APERTA";"1";"CONTRATTO D'APPALTO";"0000188543";"01521330033";"AZIENDA OSPEDALIERO-UNIVERSITARIA MAGGIORE DELLA CARITA ";"SEZIONE REGIONALE PIEMONTE";"0464B7F2-85E5-4F88-BBE7-6B7C60359DF1";"S.C.PROVVEDITORATO ECONOMATO";"2007";"2";"33000000-0";"APPARECCHIATURE MEDICHE E DI LABORATORIO, STRUMENTI OTTICI E DI PRECISIONE, OROLOGI, PRODOTTI FARMACEUTICI E RELATIVI MATERIALI MEDICI CORRENTI.";"1"
"0006571E8B";"";"10586";"SISTEMA COMPLETO PER DIAGNOSTICA PER RICERCA GENOMA HPV LR-HR E DI UN SISTEMA COMPLETO PER DIAGNOSTICA PER TIPIZZAZIONE CEPPI HR";"195000.0";;"SISTEMA TIPIZZAZIONE CEPPI HR";"45000.0";"FORNITURE";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-27";"2007-03-23";"8";"AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO";"1";"CONTRATTO D'APPALTO";"0000233566";"06815430019";"AZIENDA OSPEDALIERA O.I.R.M. - SANT'ANNA";"SEZIONE REGIONALE PIEMONTE";"0877D58D-1C95-4E51-BA70-35E16075ACC7";"S.C. PROVVEDITORATO - SETT. DIAGNOSTICI";"2007";"2";"33000000-0";"APPARECCHIATURE MEDICHE E DI LABORATORIO, STRUMENTI OTTICI E DI PRECISIONE, OROLOGI, PRODOTTI FARMACEUTICI E RELATIVI MATERIALI MEDICI CORRENTI.";"1"
"3412195862";"";"3424231";"SISTEMI DIAGNOSTICI COTTIMO LABORATORI ANALISI EX AUSL 7 - GARA AGGIUDICATA IN PROORGA CONTRATTUALE";"133185.51";"7";"AGENTI TORCH - DITTA BIOMERIEUX";"58687.2";"FORNITURE";"ATTIVO";"SETTORI ORDINARI";"088009";"RAGUSA";"2007-02-23";"2013-04-03";"8";"AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO";"7";"ACQUISIZIONE IN ECONOMIA";"0000183832";"01426410880";"AZIENDA SANITARIA PROVINCIALE DI RAGUSA";"SEZIONE REGIONALE SICILIA";"D9F43FF7-E9E8-487E-8A93-5F3BA35EA639";"SERVIZIO PROVVEDITORATO-ECONOMATO";"2007";"2";"33124110-9";"SISTEMI DIAGNOSTICI.";"1"
"00048756F8";"";"7800";"SERVIZIO DI DISOSTRUZIONE E PULIZIA DELLE RETI FOGNANTI NEGLI STABILI DI PROPRIETA' DELLA FONDAZIONE ENASARCO SITI IN ROMA, ACILIA E POMEZIA - N. 4 LOTTI";"280000.0";;"SERVIZIO DI DISOSTRUZIONE E PULIZIA DELLE RETI FOGNANTI NEGLI STABILI DI PROPRIETA' DELLA FONDAZIONE ENASARCO SITI IN ROMA, ACILIA E POMEZIA - LOTTO ROMA EST";"70000.0";"SERVIZI";"ATTIVO";"SETTORI ORDINARI";"058091";"ROMA";"2007-02-22";"2007-02-23";"2";"PROCEDURA RISTRETTA";"1";"CONTRATTO D'APPALTO";"0000170859";"00763810587";"FONDAZIONE ENASARCO";"SEZIONE REGIONALE CENTRALE";"4137";"UFFICIO TECNICO";"2007";"2";"90000000-7";"SERVIZI DI SMALTIMENTO DI RIFIUTI E ACQUE REFLUE, SERVIZI DI IGIENIZZAZIONE E SERVIZI AMBIENTALI.";"1"
"0001142E64";"";"336";"QUARTIERE PELIZZA - MANUTENZIONE STRAORDINARIA E COMPLETAMENTO SERVIZI";"38500.0";"1";"QUARTIERE PELIZZA - MANUTENZIONE STRAORDINARIA E COMPLETAMENTO SERVIZI";"38500.0";"LAVORI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-07";"2007-02-19";"15";"PROCEDURA NEGOZIATA";"1";"CONTRATTO D'APPALTO";"0000158775";"00296180185";"COMUNE DI PAVIA";"SEZIONE REGIONALE LOMBARDIA";"2251";"UFFICIO TECNICO COMUNALE";"2007";"2";"45000000-7";"LAVORI DI COSTRUZIONE.";"1"
"00148384B3";"";"22291";"LAVODI DI SISTEMAZIONE ED ADEGUAMENTO DELLA STRADA RURALE BOSCO REDOLE";"154408.0";;"LAVODI DI SISTEMAZIONE ED ADEGUAMENTO DELLA STRADA RURALE BOSCO REDOLE";"154408.55";"LAVORI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-26";"2007-03-23";"2";"PROCEDURA RISTRETTA";"1";"CONTRATTO D'APPALTO";"0000242194";"80001610700";"COMUNE S GIULIANO DEL SANNIO";"SEZIONE REGIONALE MOLISE";"957F471F-F70F-4D37-B657-D866A86EF5B5";"SERVIZIO TECNICO";"2007";"2";"45000000-7";"LAVORI DI COSTRUZIONE.";"1"
"00073132E0";"";"11481";"FORNITURA COMBUSTIBILI PER NAVI TRAGHETTO";"490000.0";;"FORNITURA COMBUSTIBILE CAT FS 002/231 PER NAVI VELOCI A MESSINA";"45000.0";"FORNITURE";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-23";"2007-02-28";"2";"PROCEDURA RISTRETTA";"1";"CONTRATTO D'APPALTO";"0000187365";"01585570581";"RETE FERROVIARIA ITALIANA - SOCIETA' PER AZIONI";"SEZIONE REGIONALE CENTRALE";"8031C1AD-A7C6-4CA8-85B3-8EF510FA5172";"DIREZIONE MOVIMENTO - NAVIGAZIONE";"2007";"2";"23000000-7";"PRODOTTI PETROLIFERI E COMBUSTIBILI.";"1"
"2293005794";"0658999F29";"2370159";"SERVIZI DI CONNETTIVITÀ E SICUREZZA SPC";"9700038.47";"2";"SERVIZI DI CONNETTIVITÀ E SICUREZZA SPC - UFFICI REGIONALI";"771309.24";"SERVIZI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-19";"2007-02-19";"27";"AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE";"11";"CONTRATTO D'APPALTO DISCENDENTE DA ACCORDO QUADRO/CONVENZIONE SENZA SUCCESSIVO CONFRONTO COMPETITIVO";"0000174942";"00930050588";"AMM. AUTONOMA DEI MONOPOLI DI STATO";"SEZIONE REGIONALE CENTRALE";"4C408171-E14B-4285-8CA8-21017F20FEEE";"DIREZIONE ORGANIZZAZIONE E GESTIONE RISORSE - UFFICIO 25 GSI";"2007";"2";"64210000-1";"SERVIZI TELEFONICI E DI TRASMISSIONE DATI.";"1"
